No	Kode
1	ADCP
2	AMAN
3	APLN
4	ARMY
5	ASPI
6	ASRI
7	ATAP
8	BAPA
9	BAPI
10	BBSS
11	BCIP
12	BEST
13	BIKA
14	BIPP
15	BKDP
16	BKSL
17	BSBK
18	BSDE
19	CBPE
20	CITY
21	COWL
22	CPRI
23	CSIS
24	CTRA
25	DADA
26	DART
27	DILD
28	DMAS
29	DUTI
30	ELTY
31	EMDE
32	FMII
33	FORZ
34	GAMA
35	GMTD
36	GPRA
37	GRIA
38	HOMI
39	INDO
40	INPP
41	JRPT
42	KBAG
43	KIJA
44	KOCI
45	LAND
46	LCGP
47	LPCK
48	LPKR
49	LPLI
50	MDLN
51	MKPI
52	MMLP
53	MPRO
54	MTLA
55	MTSM
56	MYRX
57	MYRXP
58	NASA
59	NIRO
60	NZIA
61	OMRE
62	PAMG
63	PANI
64	PLIN
65	POLI
66	POLL
67	POSA
68	PPRO
69	PUDP
70	PURI
71	PWON
72	RBMS
73	RDTX
74	REAL
75	RIMO
76	RISE
77	ROCK
78	RODA
79	SAGE
80	SATU
81	SMDM
82	SMRA
83	TARA
84	TRIN
85	TRUE
86	UANG
87	URBN
88	VAST
89	WINR

