No	Kode
1	ABMM
2	ADMR
3	ADRO
4	AIMS
5	AKRA
6	ALII
7	APEX
8	ARII
9	ARTI
10	ATLA
11	BBRM
12	BESS
13	BIPI
14	BOSS
15	BSML
16	BSSR
17	BULL
18	BUMI
19	BYAN
20	CANI
21	CBRE
22	CGAS
23	CNKO
24	COAL
25	CUAN
26	DEWA
27	DOID
28	DSSA
29	DWGL
30	ELSA
31	ENRG
32	FIRE
33	GEMS
34	GTBO
35	GTSI
36	HILL
37	HITS
38	HRUM
39	HUMI
40	IATA
41	INDY
42	INPS
43	ITMA
44	ITMG
45	JSKY
46	KKGI
47	KOPI
48	LEAD
49	MAHA
50	MBAP
51	MBSS
52	MCOL
53	MEDC
54	MKAP
55	MTFN
56	MYOH
57	PGAS
58	PKPK
59	PSSI
60	PTBA
61	PTIS
62	PTRO
63	RAJA
64	RGAS
65	RIGS
66	RMKE
67	RMKO
68	RUIS
69	SEMA
70	SGER
71	SHIP
72	SICO
73	SMMT
74	SMRU
75	SOCI
76	SUGI
77	SUNI
78	SURE
79	TAMU
80	TCPI
81	TEBE
82	TOBA
83	TPMA
84	TRAM
85	UNIQ
86	WINS
87	WOWS

