No	Kode
1	ADMG
2	AGII
3	AKPI
4	ALDO
5	ALKA
6	ALMI
7	AMMN
8	ANTM
9	APLI
10	ARCI
11	AVIA
12	AYLS
13	BAJA
14	BATR
15	BEBS
16	BLES
17	BMSR
18	BRMS
19	BRNA
20	BRPT
21	BTON
22	CHEM
23	CITA
24	CLPI
25	CMNT
26	CTBN
27	DKFT
28	DPNS
29	EKAD
30	EPAC
31	ESIP
32	ESSA
33	ETWA
34	FASW
35	FPNI
36	FWCT
37	GDST
38	GGRP
39	HKMU
40	IFII
41	IFSH
42	IGAR
43	INAI
44	INCF
45	INCI
46	INCO
47	INKP
48	INRU
49	INTD
50	INTP
51	IPOL
52	ISSP
53	JKSW
54	KAYU
55	KBRI
56	KDSI
57	KKES
58	KMTR
59	KRAS
60	LMSH
61	LTLS
62	MBMA
63	MDKA
64	MDKI
65	MOLI
66	NCKL
67	NICE
68	NICL
69	NIKL
70	NPGF
71	OBMD
72	OKAS
73	OPMS
74	PBID
75	PDPP
76	PICO
77	PPRI
78	PSAB
79	PURE
80	SAMF
81	SBMA
82	SIMA
83	SMBR
84	SMCB
85	SMGA
86	SMGR
87	SMKL
88	SMLE
89	SOLA
90	SPMA
91	SQMI
92	SRSN
93	SULI
94	SWAT
95	TALF
96	TBMS
97	TDPM
98	TINS
99	TIRT
100	TKIM
101	TPIA
102	TRST
103	UNIC
104	WSBP
105	WTON
106	YPAS
107	ZINC

