No	Kode
1	ACST
2	ADHI
3	ARKO
4	ASLI
5	BALI
6	BDKR
7	BREN
8	BTEL
9	BUKK
10	CASS
11	CENT
12	CMNP
13	DATA
14	DGIK
15	EXCL
16	FREN
17	GHON
18	GMFI
19	GOLD
20	HADE
21	IBST
22	IDPR
23	INET
24	IPCC
25	IPCM
26	ISAT
27	JAST
28	JKON
29	JSMR
30	KARW
31	KBLV
32	KEEN
33	KETR
34	KOKA
35	KRYA
36	LCKM
37	LINK
38	META
39	MORA
40	MPOW
41	MTEL
42	MTPS
43	MTRA
44	NRCA
45	OASA
46	PBSA
47	PGEO
48	PORT
49	POWR
50	PPRE
51	PTDU
52	PTPP
53	PTPW
54	RONY
55	SSIA
56	SUPR
57	TAMA
58	TBIG
59	TGRA
60	TLKM
61	TOPS
62	TOTL
63	TOWR
64	WEGE
65	WIKA
66	WSKT

