No	Kode
1	BMHS
2	CARE
3	DGNS
4	DVLA
5	HALO
6	HEAL
7	IKPM
8	INAF
9	IRRA
10	KAEF
11	KLBF
12	LABS
13	MEDS
14	MERK
15	MIKA
16	MMIX
17	MTMH
18	OMED
19	PEHA
20	PEVE
21	PRAY
22	PRDA
23	PRIM
24	PYFA
25	RSCH
26	RSGK
27	SAME
28	SCPI
29	SIDO
30	SILO
31	SOHO
32	SRAJ
33	SURI
34	TSPC

