No	Kode
1	AMFG
2	AMIN
3	APII
4	ARKA
5	ARNA
6	ASGR
7	ASII
8	BHIT
9	BINO
10	BLUE
11	BNBR
12	CAKK
13	CCSI
14	CRSN
15	CTTH
16	DYAN
17	FOLK
18	GPSO
19	HEXA
20	HOPE
21	HYGN
22	IBFN
23	ICON
24	IKAI
25	IKBI
26	IMPC
27	INDX
28	INTA
29	JECC
30	JTPE
31	KBLI
32	KBLM
33	KIAS
34	KOBX
35	KOIN
36	KONI
37	KPAL
38	KRAH
39	KUAS
40	LABA
41	LION
42	MARK
43	MDRN
44	MFMI
45	MHKI
46	MLIA
47	MUTU
48	NTBK
49	PADA
50	PIPA
51	PTMP
52	SCCO
53	SINI
54	SKRN
55	SMIL
56	SOSS
57	SPTO
58	TIRA
59	TOTO
60	TRIL
61	UNTR
62	VISI
63	VOKS
64	ZBRA

