No	Kode
1	AREA
2	ATIC
3	AWAN
4	AXIO
5	BELI
6	BUKA
7	CYBR
8	DCII
9	DIVA
10	DMMX
11	EDGE
12	ELIT
13	EMTK
14	ENVY
15	GLVA
16	GOTO
17	HDIT
18	IOTF
19	IRSX
20	JATI
21	KIOS
22	KREN
23	LMAS
24	LUCK
25	MCAS
26	MLPT
27	MPIX
28	MSTI
29	MTDL
30	NFCX
31	PTSN
32	SKYB
33	TECH
34	TFAS
35	TOSK
36	TRON
37	UVCR
38	WIFI
39	WIRG
40	ZYRX

