No	Kode
1	AKSI
2	ASSA
3	BIRD
4	BLTA
5	BPTR
6	CMPP
7	DEAL
8	ELPI
9	GIAA
10	GTRA
11	HAIS
12	HATM
13	HELI
14	IMJS
15	JAYA
16	KJEN
17	KLAS
18	LAJU
19	LRNA
20	MIRA
21	MITI
22	MPXL
23	NELY
24	PURA
25	SAFE
26	SAPX
27	SDMU
28	SMDR
29	TAXI
30	TMAS
31	TNCA
32	TRJA
33	TRUK
34	WEHA

